index,year,oscars_held,category,name,film_title,character_name,honorary_statement,description,note,act_dir,winner_type
21,1929/30,3,ACTOR,George Arliss,Disraeli,Benjamin Disraeli,,,"As allowed by the award rules for this year, a single nomination could honor work in one or more films.  Though the final awards ballot listed both Disraeli and The Green Goddess in his nomination, the award was announced for only the Disraeli performance.  It has never been established as to why this was, but it possibly could have been because the original report from the Acting Branch Board of Judges only listed the Disraeli performance in the results of the nominations voting, or it could have been because on some of the final ballots, the voters had indicated the Disraeli performance over the other.",True,Single Winner
22,1929/30,3,ACTRESS,Norma Shearer,The Divorcee,Jerry,,,"As allowed by the award rules for this year, a single nomination could honor work in one or more films.  Though the final awards ballot listed both The Divorcee and Their Own Desire in her nomination, the award was announced for only the The Divorcee performance.  It has never been established as to why this was, but it possibly could have been because the original report from the Acting Branch Board of Judges only listed The Divorcee performance in the results of the nominations voting, or it could have been because on some of the final ballots, the voters had indicated the The Divorcee performance over the other.",True,Single Winner
23,1929/30,3,ART DIRECTION,Herman Rosse,King of Jazz,,,,,True,Single Winner
24,1929/30,3,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,,,,,False,Single Winner
25,1929/30,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,,,,,True,Single Winner
26,1929/30,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,,,,,False,Single Winner
27,1929/30,3,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,,,,,False,Single Winner
28,1929/30,3,WRITING,Frances Marion,The Big House,,,,,False,Single Winner
29,1930/31,4,ACTOR,Lionel Barrymore,A Free Soul,Stephen Ashe,,,,True,Single Winner
30,1930/31,4,ACTRESS,Marie Dressler,Min and Bill,Min,,,,True,Single Winner
31,1930/31,4,ART DIRECTION,Max Rée,Cimarron,,,,,True,Single Winner
32,1930/31,4,CINEMATOGRAPHY,Floyd Crosby,Tabu,,,,,False,Single Winner
33,1930/31,4,DIRECTING,Norman Taurog,Skippy,,,,,True,Single Winner
34,1930/31,4,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,,,,,False,Single Winner
35,1930/31,4,SCIENTIFIC OR TECHNICAL AWARD (Class I),,,,"To ELECTRICAL RESEARCH PRODUCTS, INC., RCA-PHOTOPHONE, INC. and RKO RADIO PICTURES, INC., for noise reduction recording equipment.",,,False,Single Winner
36,1930/31,4,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,To FOX FILM CORP. for effective use of synchro-projection composite photography.,,,False,Single Winner
37,1930/31,4,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,"To ELECTRICAL RESEARCH PRODUCTS, INC. for moving coil microphone transmitters.",,,False,Single Winner
38,1930/31,4,SOUND RECORDING,Paramount Publix Studio Sound Department,,,,,This award was not associated with any specific film title.,False,Single Winner
39,1930/31,4,WRITING (Adaptation),Howard Estabrook,Cimarron,,,,,False,Single Winner
40,1930/31,4,WRITING (Original Story),John Monk Saunders,The Dawn Patrol,,,,,False,Single Winner
41,1931/32,5,ACTOR,Wallace Beery,The Champ,Champ,,,"A tie.  Mr. Beery had one vote less than Fredric March (Dr. Jekyll and Mr. Hyde), and rules at the time stated that if any achievement came within three votes of the First Award, it would be considered a tie.",True,Multiple Winners
42,1931/32,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,Dr. Henry Jekyll/Mr. Hyde,,,"A tie.  Mr. Beery had one vote less than Fredric March (Dr. Jekyll and Mr. Hyde), and rules at the time stated that if any achievement came within three votes of the First Award, it would be considered a tie.",True,Multiple Winners
43,1931/32,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,Madelon,,,,True,Single Winner
44,1931/32,5,ART DIRECTION,Gordon Wiles,Transatlantic,,,,,True,Single Winner
45,1931/32,5,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,,,,,False,Single Winner
46,1931/32,5,DIRECTING,Frank Borzage,Bad Girl,,,,,True,Single Winner
47,1931/32,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,,,,,False,Single Winner
48,1931/32,5,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,To TECHNICOLOR MOTION PICTURE CORP. for its color cartoon process.,,,False,Single Winner
49,1931/32,5,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,To EASTMAN KODAK COMPANY for its Type II-B Sensitometer.,,,False,Single Winner
50,1931/32,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Flowers and Trees,,,,,False,Single Winner
51,1931/32,5,SHORT SUBJECT (Comedy),"Hal Roach, Producer",The Music Box,,,,,False,Single Winner
52,1931/32,5,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",Wrestling Swordfish,,,,,False,Single Winner
53,1931/32,5,SOUND RECORDING,Paramount Publix Studio Sound Department,,,,,This award was not associated with any specific film title.,False,Single Winner
54,1931/32,5,SPECIAL AWARD,,,,"To Walt Disney for the creation of ""Mickey Mouse.",,,False,Single Winner
55,1931/32,5,WRITING (Adaptation),Edwin Burke,Bad Girl,,,,,False,Single Winner
56,1931/32,5,WRITING (Original Story),Frances Marion,The Champ,,,,,False,Single Winner
57,1932/33,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,Henry VIII,,,,True,Single Winner
58,1932/33,6,ACTRESS,Katharine Hepburn,Morning Glory,Eva Lovelace,,,,True,Single Winner
59,1932/33,6,ART DIRECTION,William S. Darling,Cavalcade,,,,,True,Single Winner
60,1932/33,6,ASSISTANT DIRECTOR,William Tummel (Fox),,,,,,True,Multiple Winners
61,1932/33,6,CINEMATOGRAPHY,"Charles Bryant Lang, Jr.",A Farewell to Arms,,,,,False,Single Winner
62,1932/33,6,DIRECTING,Frank Lloyd,Cavalcade,,,,,True,Single Winner
63,1932/33,6,OUTSTANDING PRODUCTION,Fox,Cavalcade,,,,,False,Single Winner
64,1932/33,6,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their wide range recording and reproducing system.",,,False,Single Winner
65,1932/33,6,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,"To FOX FILM CORPORATION, FRED JACKMAN and WARNER BROS. PICTURES, INC., and SIDNEY SANDERS of RKO Studios, Inc., for their development and effective use of the translucent cellulose screen in composite photography.",,,False,Single Winner
66,1932/33,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Three Little Pigs,,,,,False,Single Winner
67,1932/33,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",So This Is Harris,,,,,False,Single Winner
68,1932/33,6,SHORT SUBJECT (Novelty),"Joe Rock, Producer",Krakatoa,,,,,False,Single Winner
69,1932/33,6,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms,,,,,False,Single Winner
70,1932/33,6,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,,,,,False,Single Winner
71,1932/33,6,WRITING (Original Story),Robert Lord,One Way Passage,,,,,False,Single Winner
72,1934,7,ACTOR,Clark Gable,It Happened One Night,Peter Warne,,,,True,Single Winner
73,1934,7,ACTRESS,Claudette Colbert,It Happened One Night,Ellie Andrews,,,,True,Single Winner
74,1934,7,ART DIRECTION,"Cedric Gibbons, Fredric Hope",The Merry Widow,,,,won by two votes,True,Single Winner
75,1934,7,ASSISTANT DIRECTOR,John Waters,Viva Villa!,,,,,True,Single Winner
76,1934,7,CINEMATOGRAPHY,Victor Milner,Cleopatra,,,,,False,Single Winner
77,1934,7,DIRECTING,Frank Capra,It Happened One Night,,,,,True,Single Winner
78,1934,7,FILM EDITING,Conrad Nervig,Eskimo,,,,,False,Single Winner
79,1934,7,MUSIC (Scoring),"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love,,,,,False,Single Winner
80,1934,7,MUSIC (Song),Music by Con Conrad; Lyrics by Herb Magidson,The Gay Divorcee,,,,,False,Single Winner
81,1934,7,OUTSTANDING PRODUCTION,Columbia,It Happened One Night,,,,,False,Single Winner
82,1934,7,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their development of the Vertical Cut Disc Method of recording sound for motion pictures (hill and dale recording).",,,False,Single Winner
83,1934,7,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,"To COLUMBIA PICTURES CORPORATION for their application of the Vertical Cut Disc Method (hill and dale recording) to actual studio production, with their recording of the sound on the picture One Night of Love.",,,False,Single Winner
84,1934,7,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Tortoise and the Hare,,,,,False,Single Winner
85,1934,7,SHORT SUBJECT (Comedy),"Kenneth Macgowan, Producer",La Cucaracha,,,,,False,Single Winner
86,1934,7,SHORT SUBJECT (Novelty),"Stacy Woodard and Horace Woodard, Producers",City of Wax,,,,,False,Single Winner
87,1934,7,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director",One Night of Love,,,,,False,Single Winner
88,1934,7,SPECIAL AWARD,,,,"To Shirley Temple, in grateful recognition of her outstanding contribution to screen entertainment during the year 1934.",,,False,Single Winner
89,1934,7,WRITING (Adaptation),Robert Riskin,It Happened One Night,,,,,False,Single Winner
90,1934,7,WRITING (Original Story),Arthur Caesar,Manhattan Melodrama,,,,,False,Single Winner
91,1935,8,ACTOR,Victor McLaglen,The Informer,Gypo Nolan,,,,True,Single Winner
92,1935,8,ACTRESS,Bette Davis,Dangerous,Joyce Heath,,,,True,Single Winner
93,1935,8,ART DIRECTION,Richard Day,The Dark Angel,,,,,True,Single Winner
94,1935,8,ASSISTANT DIRECTOR,"Clem Beauchamp, Paul Wing",The Lives of a Bengal Lancer,,,,,True,Single Winner
95,1935,8,CINEMATOGRAPHY,Hal Mohr,A Midsummer Night's Dream,,,,THIS IS NOT AN OFFICIAL NOMINATION.  Write-in candidate.,False,Single Winner
96,1935,8,DANCE DIRECTION,Dave Gould,Broadway Melody of 1936,,,,,True,Single Winner
97,1935,8,DIRECTING,John Ford,The Informer,,,,,True,Single Winner
98,1935,8,FILM EDITING,Ralph Dawson,A Midsummer Night's Dream,,,,,False,Single Winner
99,1935,8,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Informer,,,,,False,Single Winner
100,1935,8,MUSIC (Song),Music by Harry Warren; Lyrics by Al Dubin,Gold Diggers of 1935,,,,,False,Single Winner
101,1935,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Mutiny on the Bounty,,,,,False,Single Winner
102,1935,8,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,To AGFA ANSCO CORPORATION for their development of the Agfa infra-red film.,,,False,Single Winner
103,1935,8,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,"To METRO-GOLDWYN-MAYER STUDIO for the development of anti-directional negative and positive development by means of jet turbulation, and the application of the method to all negative and print processing of the entire product of a major producing company.",,,False,Single Winner
104,1935,8,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Three Orphan Kittens,,,,,False,Single Winner
105,1935,8,SHORT SUBJECT (Comedy),"Jack Chertok, Producer",How to Sleep,,,,,False,Single Winner
106,1935,8,SHORT SUBJECT (Novelty),Gaumont British and Skibo Productions,Wings over Mt. Everest,,,,,False,Single Winner
107,1935,8,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Naughty Marietta,,,,,False,Single Winner
108,1935,8,SPECIAL AWARD,,,,"To David Wark Griffith, for his distinguished creative achievements as director and producer and his invaluable initiative and lasting contributions to the progress of the motion picture arts.",,,False,Single Winner
109,1935,8,WRITING (Original Story),"Ben Hecht, Charles MacArthur",The Scoundrel,,,,,False,Single Winner
110,1935,8,WRITING (Screenplay),Dudley Nichols,The Informer,,,,"Mr. Nichols initially refused the award, but Academy records indicate that he was in possession of a statuette by 1949.",False,Single Winner
111,1936,9,ACTOR,Paul Muni,The Story of Louis Pasteur,Louis Pasteur,,,,True,Single Winner
112,1936,9,ACTOR IN A SUPPORTING ROLE,Walter Brennan,Come and Get It,Swan Bostrom,,,,True,Single Winner
113,1936,9,ACTRESS,Luise Rainer,The Great Ziegfeld,Anna Held,,,,True,Single Winner
114,1936,9,ACTRESS IN A SUPPORTING ROLE,Gale Sondergaard,Anthony Adverse,Faith Paleologue,,,,True,Single Winner
115,1936,9,ART DIRECTION,Richard Day,Dodsworth,,,,,True,Single Winner
116,1936,9,ASSISTANT DIRECTOR,Jack Sullivan,The Charge of the Light Brigade,,,,,True,Single Winner
117,1936,9,CINEMATOGRAPHY,Gaetano Gaudio,Anthony Adverse,,,,,False,Single Winner
118,1936,9,DANCE DIRECTION,Seymour Felix,The Great Ziegfeld,,,,,True,Single Winner
119,1936,9,DIRECTING,Frank Capra,Mr. Deeds Goes to Town,,,,,True,Single Winner
120,1936,9,FILM EDITING,Ralph Dawson,Anthony Adverse,,,,,False,Single Winner
121,1936,9,MUSIC (Scoring),"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)",Anthony Adverse,,,,,False,Single Winner
122,1936,9,MUSIC (Song),Music by Jerome Kern; Lyrics by Dorothy Fields,Swing Time,,,,,False,Single Winner
123,1936,9,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Great Ziegfeld,,,,,False,Single Winner
124,1936,9,SCIENTIFIC OR TECHNICAL AWARD (Class I),,,,To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for the development of a practical two-way horn system and a biased Class A push-pull recording system.,,,False,Single Winner
125,1936,9,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,To E. C. WENTE and the BELL TELEPHONE LABORATORIES for their multi-cellular high-frequency horn and receiver.,,,False,Single Winner
126,1936,9,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,"To RCA MANUFACTURING CO., INC., for their development of a method of recording and printing sound records utilizing a restricted spectrum (known as ultra-violet light recording).",,,False,Single Winner
127,1936,9,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Country Cousin,,,,,False,Single Winner
128,1936,9,SHORT SUBJECT (Color),Warner Bros.,Give Me Liberty,,,,,False,Single Winner
129,1936,9,SHORT SUBJECT (One-reel),"Hal Roach, Producer",Bored of Education,,,,,False,Single Winner
130,1936,9,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,The Public Pays,,,,,False,Single Winner
131,1936,9,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",San Francisco,,,,,False,Single Winner
132,1936,9,SPECIAL AWARD,,,,To The March of Time for its significance to motion pictures and for having revolutionized one of the most important branches of the industry - the newsreel.,,,False,Single Winner
133,1936,9,WRITING (Original Story),"Pierre Collings, Sheridan Gibney",The Story of Louis Pasteur,,,,,False,Single Winner
134,1936,9,WRITING (Screenplay),"Pierre Collings, Sheridan Gibney",The Story of Louis Pasteur,,,,,False,Single Winner
135,1937,10,ACTOR,Spencer Tracy,Captains Courageous,Manuel,,,,True,Single Winner
136,1937,10,ACTOR IN A SUPPORTING ROLE,Joseph Schildkraut,The Life of Emile Zola,Captain Alfred Dreyfus,,,,True,Single Winner
137,1937,10,ACTRESS,Luise Rainer,The Good Earth,O-Lan,,,,True,Single Winner
138,1937,10,ACTRESS IN A SUPPORTING ROLE,Alice Brady,In Old Chicago,Molly O'Leary,,,,True,Single Winner
139,1937,10,ART DIRECTION,Stephen Goosson,Lost Horizon,,,,,True,Single Winner
140,1937,10,ASSISTANT DIRECTOR,Robert Webb,In Old Chicago,,,,,True,Single Winner
141,1937,10,CINEMATOGRAPHY,Karl Freund,The Good Earth,,,,,False,Single Winner
142,1937,10,DANCE DIRECTION,Hermes Pan,A Damsel in Distress,,,,,True,Single Winner
143,1937,10,DIRECTING,Leo McCarey,The Awful Truth,,,,,True,Single Winner
144,1937,10,FILM EDITING,"Gene Havlick, Gene Milford",Lost Horizon,,,,,False,Single Winner
145,1937,10,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,,,,,,False,Single Winner
146,1937,10,MUSIC (Scoring),"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)",One Hundred Men and a Girl,,,,,False,Single Winner
147,1937,10,MUSIC (Song),Music and Lyrics by Harry Owens,Waikiki Wedding,,,,,False,Single Winner
148,1937,10,OUTSTANDING PRODUCTION,Warner Bros.,The Life of Emile Zola,,,,,False,Single Winner
149,1937,10,SCIENTIFIC OR TECHNICAL AWARD (Class I),,,,To AGFA ANSCO CORPORATION for Agfa Supreme and Agfa Ultra Speed pan motion picture negatives.,,,False,Single Winner
150,1937,10,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,"To WALT DISNEY PRODUCTIONS, LTD. for the design and application to production of the Multi-Plane Camera.",,,False,Single Winner
151,1937,10,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,To JOHN ARNOLD and the METRO-GOLDWYN-MAYER STUDIO CAMERA DEPARTMENT for their improvement of the semi-automatic follow focus device and its application to all of the cameras used by the Metro-Goldwyn-Mayer Studio.,,,False,Single Winner
152,1937,10,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Old Mill,,,,,False,Single Winner
153,1937,10,SHORT SUBJECT (Color),"Pete Smith, Producer",Penny Wisdom,,,,,False,Single Winner
154,1937,10,SHORT SUBJECT (One-reel),Skibo Productions,The Private Life of the Gannets,,,,,False,Single Winner
155,1937,10,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,Torture Money,,,,,False,Single Winner
156,1937,10,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Hurricane,,,,,False,Single Winner
157,1937,10,SPECIAL AWARD,,,,"To Mack Sennett, ""for his lasting contribution to the comedy technique of the screen, the basic principles of which are as important today as when they were first put into practice, the Academy presents a Special Award to that master of fun, discoverer of stars, sympathetic, kindly, understanding comedy genius - Mack Sennett.",,,False,Single Winner
158,1937,10,WRITING (Original Story),"William A. Wellman, Robert Carson",A Star Is Born,,,,,False,Single Winner
159,1937,10,WRITING (Screenplay),"Norman Reilly Raine, Heinz Herald, Geza Herczeg",The Life of Emile Zola,,,,,False,Single Winner
160,1938,11,ACTOR,Spencer Tracy,Boys Town,Father Flanagan,,,,True,Single Winner
161,1938,11,ACTOR IN A SUPPORTING ROLE,Walter Brennan,Kentucky,Peter Goodwin,,,,True,Single Winner
162,1938,11,ACTRESS,Bette Davis,Jezebel,Julie Morrison,,,,True,Single Winner
163,1938,11,ACTRESS IN A SUPPORTING ROLE,Fay Bainter,Jezebel,Aunt Belle Massey,,,,True,Single Winner
164,1938,11,ART DIRECTION,Carl J. Weyl,The Adventures of Robin Hood,,,,,True,Single Winner
165,1938,11,CINEMATOGRAPHY,Joseph Ruttenberg,The Great Waltz,,,,,False,Single Winner
166,1938,11,DIRECTING,Frank Capra,You Can't Take It with You,,,,,True,Single Winner
167,1938,11,FILM EDITING,Ralph Dawson,The Adventures of Robin Hood,,,,,False,Single Winner
168,1938,11,IRVING G. THALBERG MEMORIAL AWARD,Hal B. Wallis,,,,,This is the only year that nominations were announced for the Thalberg award.,False,Single Winner
169,1938,11,MUSIC (Original Score),Erich Wolfgang Korngold,The Adventures of Robin Hood,,,,,False,Single Winner
170,1938,11,MUSIC (Scoring),Alfred Newman,Alexander's Ragtime Band,,,,,False,Single Winner
171,1938,11,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,The Big Broadcast of 1938,,,,,False,Single Winner
172,1938,11,OUTSTANDING PRODUCTION,Columbia,You Can't Take It with You,,,,,False,Single Winner
173,1938,11,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,To JOHN AALBERG and the RKO RADIO STUDIO SOUND DEPARTMENT for the application of compression to variable area recording in motion picture production.,,,False,Single Winner
174,1938,11,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Ferdinand the Bull,,,,,False,Single Winner
175,1938,11,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,That Mothers Might Live,,,,,False,Single Winner
176,1938,11,SHORT SUBJECT (Two-reel),Warner Bros.,Declaration of Independence,,,,,False,Single Winner
177,1938,11,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Cowboy and the Lady,,,,,False,Single Winner
178,1938,11,SPECIAL AWARD,,,,"To Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth, and as juvenile players setting a high standard of ability and achievement.",,,False,Single Winner
179,1938,11,WRITING (Original Story),"Dore Schary, Eleanore Griffin",Boys Town,,,,,False,Single Winner
180,1938,11,WRITING (Screenplay),"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",Pygmalion,,,,,False,Single Winner
181,1939,12,ACTOR,Robert Donat,"Goodbye, Mr. Chips",Mr. Chips,,,,True,Single Winner
182,1939,12,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,Stagecoach,Dr. Josiah Boone,,,,True,Single Winner
183,1939,12,ACTRESS,Vivien Leigh,Gone with the Wind,Scarlett O'Hara,,,,True,Single Winner
184,1939,12,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,Gone with the Wind,Mammy,,,,True,Single Winner
185,1939,12,ART DIRECTION,Lyle Wheeler,Gone with the Wind,,,,,True,Single Winner
186,1939,12,CINEMATOGRAPHY (Black-and-White),Gregg Toland,Wuthering Heights,,,,,False,Single Winner
187,1939,12,CINEMATOGRAPHY (Color),"Ernest Haller, Ray Rennahan",Gone with the Wind,,,,,False,Single Winner
188,1939,12,DIRECTING,Victor Fleming,Gone with the Wind,,,,,True,Single Winner
189,1939,12,FILM EDITING,"Hal C. Kern, James E. Newcom",Gone with the Wind,,,,,False,Single Winner
190,1939,12,IRVING G. THALBERG MEMORIAL AWARD,David O. Selznick,,,,,,False,Single Winner
191,1939,12,MUSIC (Original Score),Herbert Stothart,The Wizard of Oz,,,,,False,Single Winner
192,1939,12,MUSIC (Scoring),"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",Stagecoach,,,,,False,Single Winner
193,1939,12,MUSIC (Song),Music by Harold Arlen; Lyrics by E. Y. Harburg,The Wizard of Oz,,,,,False,Single Winner
194,1939,12,OUTSTANDING PRODUCTION,Selznick International Pictures,Gone with the Wind,,,,,False,Single Winner
195,1939,12,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,To GEORGE ANDERSON of Warner Bros. Studio for an improved positive head for sun arcs.,,,False,Single Winner
196,1939,12,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Ugly Duckling,,,,,False,Single Winner
197,1939,12,SHORT SUBJECT (One-reel),Paramount,Busy Little Bears,,,,,False,Single Winner
198,1939,12,SHORT SUBJECT (Two-reel),Warner Bros.,Sons of Liberty,,,,,False,Single Winner
199,1939,12,SOUND RECORDING,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",When Tomorrow Comes,,,,,False,Single Winner
200,1939,12,SPECIAL AWARD,,,,"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture.",,,False,Single Winner
201,1939,12,SPECIAL EFFECTS,"Fred Sersen, E. H. Hansen",The Rains Came,,,,,False,Single Winner
202,1939,12,WRITING (Original Story),Lewis R. Foster,Mr. Smith Goes to Washington,,,,,False,Single Winner
203,1939,12,WRITING (Screenplay),Sidney Howard,Gone with the Wind,,,,,False,Single Winner
204,1940,13,ACTOR,James Stewart,The Philadelphia Story,Mike Connor,,,,True,Single Winner
